Nom vernaculaire,Nom latin,Famille,Statut de reproducteur
Accenteur mouchet,Prunella modularis,Prunellidae,nicheur certain
Bergeronnette grise,Motacilla alba,Motacillidae,nicheur certain
Canard colvert,Anas platyrhynchos,Anatidae,hivernant
Chardonneret élégant,Carduelis carduelis,Fringillidae,nicheur certain
Corneille noire,Corvus corone,Corvidae,nicheur certain
Epervier d'europe,Accipiter nisus,Accipitridae,nicheur certain au Parc Montsouris
Etourneau sansonnet,Sturnus vulgaris,Sturnidae,nicheur certain
Faucon crécerelle,Falco tinnunculus,Falconidae,nicheur certain (rue Gazan/rue de l'Amiral Mouchez)
Faucon hobereau,Falco subbuteo,Falconidae,
Fauvette à tête noire,Sylvia atricapilla,Sylviidae,nicheur certain
Geai des chênes,Garrulus glandarius,Corvidae,nicheur certain
Gobemouche gris,Muscicapa striata,Muscicapidae,nicheur certain au Parc Montsouris
Gobemouche noir,Ficedula hypoleuca,Muscicapidae,
Goéland argenté,Larus argentatus,Laridés,(Parc Montsouris) En survol (direction Montsouris)
Grimpereau des jardins,Certhia brachydactyla,Certhiidae,nicheur certain
Grive draine,Turdus viscivorus,Muscicapidae,nicheur certain
Grive litorne,Turdus pilaris,Muscicapidae,
Grive mauvis,Turdus iliacus,Muscicapidae,
Grive musicienne,Turdus philomelos,Muscicapidae,nicheur certain
Héron cendré,Ardea cinerea,Ardeidae,
Hirondelle rustique,Hirundo rustica,Hirundinidae,
Hypolais polyglotte,Hippolais polyglotta,Sylviidae,Tentative échouée en 2010
Martinet noir,Apus apus,Apodidae,nicheur certain
Merle noir,Turdus merula,Muscicapidae,nicheur certain
Mésange à longue queue,Aegithalos caudatus,Aegithalidae,nicheur certain
Mésange bleue,Cyanistes caeruleus,Paridae,nicheur certain
Mésange charbonnière,Parus major,Paridae,nicheur certain
Mésange huppée,Lophophanes cristatus,Paridae,nicheur certain
Mésange noire,Periparus ater,Paridae,nicheur certain
Moineau domestique,Passer domesticus,Passeridae,nicheur certain
Moineau friquet,Passer montanus,Passeridae,nicheur certain
Mouette rieuse,Chroicocephalus ridibundus,Laridés,(Parc Montsouris) En survol (direction Montsouris)
Perruche à collier,Psittacula krameri,Psittacidé,nicheur certain au Parc Montsouris
Pic épeiche,Dendrocopos major,Picidae,
Pic épeichette,Dendrocopos minor,Picidae,nicheur certain
Pic vert,Picus viridis,Picidae,nicheur certain au Parc Montsouris
Pie bavarde,Pica pica,Corvidae,nicheur certain
Pigeon biset des villes,Columba livia,Columbidae,nicheur certain
Pigeon colombin,Columba oenas,Columbidae,nicheur certain
Pigeon ramier,Columba palumbus,Columbidae,nicheur certain
Pinson des arbres,Fringilla coelebs,Fringillidae,nicheur certain
Pouillot fitis,Phylloscopus trochilus,Sylviidae,(Parc Montsouris) En survol (direction Montsouris)
Pouillot véloce,Phylloscopus collybita,Sylviidae,nicheur possible
Roitelet à triple bandeau,Regulus ignicapilla,Regulidae,
Roitelet huppé,Regulus regulus,Regulidae,nicheur certain
Rougegorge familier,Erithacus rubecula,Muscicapidae,nicheur certain
Rougequeue noir,Phoenicurus ochruros,Muscicapidae,nicheur certain
Serin cini,Serinus serinus,Fringillidae,nicheur certain
Sitelle torchepot,Sitta europaea,Sittidae,nicheur certain
Tourterelle turque,Streptopelia decaocto,Columbidae,
Troglodyte mignon,Troglodytes troglodytes,Troglodytidae,nicheur certain
Verdier d'Europe,Carduelis chloris,Fringillidae,nicheur certain
